Mouse #,Total__Femur BV (mm³),Diaphysis Cortical__Femur Cortical Volume (mm3),Diaphysis Cortical__Femur Marrow Volume (mm3),Diaphysis Cortical__Femur pMOI (mm4),Metaphysis Cancellous__Femur BV/TV (%),Metaphysis Cancellous__Femur Tb.Th (µm),Metaphysis Cancellous__Femur Tb.Sp (µm),Epiphysis Cancellous__Femur BV/TV (%),Epiphysis Cancellous__Femur Tb.Th (µm),Epiphysis Cancellous__Femur Tb.Sp (µm),material_type,Total__Humerus BV (mm³),Diaphysis Cortical__Humerus Cortical Volume (mm³),Diaphysis Cortical__Humerus Marrow Volume (mm³),Diaphysis Cortical__Humerus pMOI (mm⁴),Metaphysis Canc__Humerus BV/TV (%),Metaphysis Canc__Humerus Tb.Th (µm),Metaphysis Canc__Humerus Tb.Sp (µm),Epiphysis Canc__Humerus BV/TV (%),Epiphysis Canc__Humerus Tb.Th (µm),Epiphysis Canc__Humerus Tb.Sp (µm),N,Temperature,Treatment,Group #,Body Wt (g)
9.0,,,,,,,,,,,humerus,6.5981,0.0923,0.09180000000000002,0.06807,12.25,39.9,168.2,31.430000000000003,52.5,142.0,,32C (90F),HLU,5.0,14.8
10.0,,,,,,,,,,,humerus,6.4067,0.0887,0.0859,0.06224,11.1,36.1,154.79999999999998,30.099999999999998,53.3,180.10000000000002,,32C (90F),HLU,5.0,14.7
11.0,,,,,,,,,,,humerus,7.0143,0.1063,0.09,0.08139,12.690000000000001,33.9,154.29999999999998,33.589999999999996,53.3,133.8,,32C (90F),Control,4.0,16.7
12.0,,,,,,,,,,,humerus,7.2235,0.1076,0.0932,0.08638,9.950000000000001,35.9,167.7,30.659999999999997,52.5,166.4,,32C (90F),HLU,5.0,17.3
13.0,,,,,,,,,,,humerus,7.1611,0.0999,0.08919999999999999,0.07655,10.280000000000001,33.4,168.4,30.14,52.0,155.1,,22C (72F),Baseline,1.0,17.1
14.0,,,,,,,,,,,humerus,6.4649,0.0925,0.0827,0.0643,12.83,36.0,156.4,34.31,50.8,130.20000000000002,,32C (90F),Control,4.0,15.3
15.0,,,,,,,,,,,humerus,6.7349,0.0973,0.09060000000000001,0.07378,10.52,33.300000000000004,167.1,28.93,48.099999999999994,148.10000000000002,,22C (72F),Control,2.0,13.9
16.0,,,,,,,,,,,humerus,6.2499,0.0898,0.0881,0.06439,8.83,38.800000000000004,202.3,24.79,48.9,167.5,,22C (72F),HLU,3.0,15.0
17.0,,,,,,,,,,,humerus,7.3297,0.1036,0.1066,0.08915,10.05,36.2,172.1,29.080000000000002,52.0,158.29999999999998,,32C (90F),HLU,5.0,17.2
18.0,,,,,,,,,,,humerus,6.2609,0.0845,0.09280000000000001,0.06108,12.989999999999998,36.7,153.4,32.14,46.5,140.8,,32C (90F),Control,4.0,14.0
